From_left	Log2Ratio	p_value	MaxRPKM	ID	Species	GeneName	Symbol
NM_000155	-1.22	0.16	2390.53	2592	Homo sapiens	galactose-1-phosphate uridylyltransferase(GALT)	GALT
NM_000160	-1.96	0.123	16.24	2642	Homo sapiens	glucagon receptor(GCGR)	GCGR
NM_000163	-5.82	0.146	29608.95	2690	Homo sapiens	growth hormone receptor(GHR)	GHR
NM_000166	-9.41	0.339	1890.54	2705	Homo sapiens	gap junction protein beta 1(GJB1)	GJB1
NM_000167	-1.45	0.116	1194.56	2710	Homo sapiens	glycerol kinase(GK)	gk
NM_000171	-2.36	0.189	3.58	2741	Homo sapiens	glycine receptor alpha 1(GLRA1)	GLRA1
NM_000172	-1.9	0.238	6.37	2779	Homo sapiens	G protein subunit alpha transducin 1(GNAT1)	GNAT1
NM_000174	-2.44	0.142	5.42	2815	Homo sapiens	glycoprotein IX platelet(GP9)	GP9
NM_000177	-1.08	0.468	1889.01	2934	Homo sapiens	gelsolin(GSN)	GSN
NM_000180	-1.5	0.413	9.52	3000	Homo sapiens	guanylate cyclase 2D, retinal(GUCY2D)	GUCY2D
NM_000187	-8.09	0.0501	9907.97	3081	Homo sapiens	homogentisate 1,2-dioxygenase(HGD)	HGD
NM_000197	-1.79	0.288	29.23	3293	Homo sapiens	hydroxysteroid 17-beta dehydrogenase 3(HSD17B3)	HSD17B3
NM_000215	-2.95	0.138	4401.84	3718	Homo sapiens	Janus kinase 3(JAK3)	JAK3
NM_000216	-1.72	0.113	6484.55	3730	Homo sapiens	anosmin 1(ANOS1)	ANOS1
NM_000218	-4.53	0.0528	2217.88	3784	Homo sapiens	potassium voltage-gated channel subfamily Q member 1(KCNQ1)	KCNQ1
NM_000220	-3.65	0.351	14.22	3758	Homo sapiens	potassium voltage-gated channel subfamily J member 1(KCNJ1)	KCNJ1
NM_000221	-1.08	0.187	4381.17	3795	Homo sapiens	ketohexokinase(KHK)	KHK
NM_000222	-3.12	0.202	417.81	3815	Homo sapiens	KIT proto-oncogene receptor tyrosine kinase(KIT)	KIT
NM_000223	-1.03	0.38	9.73	3859	Homo sapiens	keratin 12(KRT12)	KRT12
NM_000231	-5.9	0.353	2667.54	6445	Homo sapiens	sarcoglycan gamma(SGCG)	SGCG
NM_000238	-1.15	0.314	404.55	3757	Homo sapiens	potassium voltage-gated channel subfamily H member 2(KCNH2)	KCNH2
NM_000239	-3.68	0.245	1557.52	4069	Homo sapiens	lysozyme(LYZ)	LYZ
NM_000242	-2.5	0.347	5.67	4153	Homo sapiens	mannose binding lectin 2(MBL2)	MBL2
NM_000256	-2.59	0.347	6.03	4607	Homo sapiens	myosin binding protein C, cardiac(MYBPC3)	MYBPC3
NM_000260	-2.34	0.0829	235.71	4647	Homo sapiens	myosin VIIA(MYO7A)	MYO7A
NM_000261	-1.04	0.53	2.15	4653	Homo sapiens	myocilin(MYOC)	MYOC
NM_000262	-1.19	0.307	17655.38	4668	Homo sapiens	alpha-N-acetylgalactosaminidase(NAGA)	NAGA
NM_000265	-2.52	0.154	18.05	653361	Homo sapiens	neutrophil cytosolic factor 1(NCF1)	NCF1
NM_000266	-1.97	0.482	17672.4	4693	Homo sapiens	NDP, norrin cystine knot growth factor(NDP)	ndp
NM_000277	-7.46	0.0564	506.08	5053	Homo sapiens	phenylalanine hydroxylase(PAH)	PAH
NM_000278	-10.1	0.0559	1015.49	5076	Homo sapiens	paired box 2(PAX2)	PAX2
NM_000281	-1.28	0.0874	31249.3	5092	Homo sapiens	pterin-4 alpha-carbinolamine dehydratase 1(PCBD1)	PCBD1
NM_000282	-2.06	0.0529	16283.22	5095	Homo sapiens	propionyl-CoA carboxylase alpha subunit(PCCA)	PCCA
NM_000287	-1	0.153	31716.52	5190	Homo sapiens	peroxisomal biogenesis factor 6(PEX6)	PEX6
NM_000290	-2.67	0.0782	2254.71	5224	Homo sapiens	phosphoglycerate mutase 2(PGAM2)	PGAM2
NM_000295	-9.66	0.305	12392.32	5265	Homo sapiens	serpin family A member 1(SERPINA1)	serpina1
NM_000298	-6.91	0.347	120.19	5313	Homo sapiens	pyruvate kinase, liver and RBC(PKLR)	PKLR
NM_000299	-1.23	0.22	338.23	5317	Homo sapiens	plakophilin 1(PKP1)	pkp1
NM_000300	-2.76	0.215	101.15	5320	Homo sapiens	phospholipase A2 group IIA(PLA2G2A)	PLA2G2A
NM_000304	-1.08	0.327	2829.72	5376	Homo sapiens	peripheral myelin protein 22(PMP22)	PMP22
NM_000307	-2.39	0.347	5.23	5456	Homo sapiens	POU class 3 homeobox 4(POU3F4)	POU3F4
NM_000310	-2.77	0.322	15225.36	5538	Homo sapiens	palmitoyl-protein thioesterase 1(PPT1)	PPT1
NM_000312	-1.59	0.311	20.61	5624	Homo sapiens	protein C, inactivator of coagulation factors Va and VIIIa(PROC)	PROC
NM_000315	-2.03	0.141	4.08	5741	Homo sapiens	parathyroid hormone(PTH)	PTH
NM_000322	-1.87	0.125	50.29	5961	Homo sapiens	peripherin 2(PRPH2)	PRPH2
NM_000324	-2.84	0.0828	13.9	6005	Homo sapiens	Rh-associated glycoprotein(RHAG)	RHAG
NM_000326	-1.63	0.23	6.69	6017	Homo sapiens	retinaldehyde binding protein 1(RLBP1)	RLBP1
NM_000333	-1.19	0.334	11349.24	6314	Homo sapiens	ataxin 7(ATXN7)	atxn7
NM_000338	-7.28	0.346	236.05	6557	Homo sapiens	solute carrier family 12 member 1(SLC12A1)	SLC12A1
NM_000339	-7.09	0.151	547.34	6559	Homo sapiens	solute carrier family 12 member 3(SLC12A3)	SLC12A3
NM_000343	-4.35	0.184	25.16	6523	Homo sapiens	solute carrier family 5 member 1(SLC5A1)	SLC5A1
NM_000346	-1.29	0.229	49146.66	6662	Homo sapiens	SRY-box 9(SOX9)	SOX9
NM_000347	-1.13	0.268	627.19	6710	Homo sapiens	spectrin beta, erythrocytic(SPTB)	SPTB
NM_000348	-2.51	0.231	81.01	6716	Homo sapiens	steroid 5 alpha-reductase 2(SRD5A2)	SRD5A2
NM_000350	-3.43	0.367	3151.37	24	Homo sapiens	ATP binding cassette subfamily A member 4(ABCA4)	ABCA4
NM_000351	-2.27	0.231	41983.46	412	Homo sapiens	steroid sulfatase (microsomal), isozyme S(STS)	STS
NM_000353	-10.17	0.346	214800.14	6898	Homo sapiens	tyrosine aminotransferase(TAT)	TAT
NM_000359	-1.63	0.0596	1022.88	7051	Homo sapiens	transglutaminase 1(TGM1)	TGM1
NM_000360	-7.39	0.31	226.48	7054	Homo sapiens	tyrosine hydroxylase(TH)	TH
NM_000363	-3.2	0.265	572.12	7137	Homo sapiens	troponin I3, cardiac type(TNNI3)	TNNI3
NM_000364	-6.22	0.0877	74.68	7139	Homo sapiens	troponin T2, cardiac type(TNNT2)	TNNT2
NM_000368	-1.55	0.075	16118.57	7248	Homo sapiens	tuberous sclerosis 1(TSC1)	TSC1
NM_000369	-1.74	0.206	23.19	7253	Homo sapiens	thyroid stimulating hormone receptor(TSHR)	TSHR
NM_000370	-1.56	0.0982	597.3	7274	Homo sapiens	alpha tocopherol transfer protein(TTPA)	TTPA
NM_000371	-3.5	0.242	11.3	7276	Homo sapiens	transthyretin(TTR)	TTR
NM_000377	-2.29	0.061	358.12	7454	Homo sapiens	Wiskott-Aldrich syndrome(WAS)	WAS
NM_000378	-2.75	0.0976	341.18	7490	Homo sapiens	Wilms tumor 1(WT1)	WT1
NM_000389	-1.21	0.195	17416.91	1026	Homo sapiens	cyclin dependent kinase inhibitor 1A(CDKN1A)	CDKN1A
NM_000392	-2.63	0.181	41254.04	1244	Homo sapiens	ATP binding cassette subfamily C member 2(ABCC2)	ABCC2
NM_000395	-4.25	0.0504	24.37	1439	Homo sapiens	colony stimulating factor 2 receptor beta common subunit(CSF2RB)	CSF2RB
NM_000399	-4.53	0.243	8357.94	1959	Homo sapiens	early growth response 2(EGR2)	EGR2
NM_000402	-2.13	0.0998	152737.32	2539	Homo sapiens	glucose-6-phosphate dehydrogenase(G6PD)	G6PD
NM_000410	-2.46	0.415	3078.6	3077	Homo sapiens	hemochromatosis(HFE)	HFE
NM_000412	-3.1	0.0621	8.57	3273	Homo sapiens	histidine rich glycoprotein(HRG)	HRG
NM_000419	-3.84	0.0724	545.36	3674	Homo sapiens	integrin subunit alpha 2b(ITGA2B)	ITGA2B
NM_000421	-4.16	0.27	1509.92	3858	Homo sapiens	keratin 10(KRT10)	KRT10
NM_000423	-4.88	0.106	248.55	3849	Homo sapiens	keratin 2(KRT2)	KRT2
NM_000424	-1.25	0.322	1137.81	3852	Homo sapiens	keratin 5(KRT5)	KRT5
NM_000433	-4.56	0.344	540.46	4688	Homo sapiens	neutrophil cytosolic factor 2(NCF2)	NCF2
NM_000437	-1.12	0.159	3276.21	5051	Homo sapiens	platelet activating factor acetylhydrolase 2(PAFAH2)	PAFAH2
NM_000440	-1.83	0.0631	807.46	5145	Homo sapiens	phosphodiesterase 6A(PDE6A)	PDE6A
NM_000445	-1.04	0.0736	221426.94	5339	Homo sapiens	plectin(PLEC)	PLEC
NM_000446	-6.36	0.142	82.19	5444	Homo sapiens	paraoxonase 1(PON1)	PON1
NM_000448	-3.04	0.189	2724.35	5896	Homo sapiens	recombination activating 1(RAG1)	RAG1
NM_000451	-1.02	0.201	18.87	6473	Homo sapiens	short stature homeobox(SHOX)	SHOX
NM_000452	-2.81	0.166	7.01	6555	Homo sapiens	solute carrier family 10 member 2(SLC10A2)	SLC10A2
NM_000453	-1.75	0.131	936.32	6528	Homo sapiens	solute carrier family 5 member 5(SLC5A5)	slc5a5
NM_000456	-1.53	0.136	5143.94	6821	Homo sapiens	sulfite oxidase(SUOX)	SUOX
NM_000457	-1.93	0.211	7.82	3172	Homo sapiens	hepatocyte nuclear factor 4 alpha(HNF4A)	HNF4A
NM_000458	-3.53	0.282	11.58	6928	Homo sapiens	HNF1 homeobox B(HNF1B)	HNF1B
NM_000460	-3.02	0.277	16.85	7066	Homo sapiens	thrombopoietin(THPO)	THPO
NM_000461	-1.59	0.177	1828.32	7068	Homo sapiens	thyroid hormone receptor beta(THRB)	THRB
NM_000463	-1.44	0.392	9.69	54658	Homo sapiens	UDP glucuronosyltransferase family 1 member A1(UGT1A1)	UGT1A1
NM_000475	-3.68	0.383	2010.38	190	Homo sapiens	nuclear receptor subfamily 0 group B member 1(NR0B1)	nr0b1
NM_000486	-2.53	0.131	28.28	359	Homo sapiens	aquaporin 2(AQP2)	AQP2
NM_000499	-3.02	0.323	1797.63	1543	Homo sapiens	cytochrome P450 family 1 subfamily A member 1(CYP1A1)	CYP1A1
NM_000508	-2.19	0.352	32.13	2243	Homo sapiens	fibrinogen alpha chain(FGA)	FGA
NM_000509	-7.55	0.231	113.55	2266	Homo sapiens	fibrinogen gamma chain(FGG)	FGG
NM_000511	-4.5	0.131	3898.82	2524	Homo sapiens	fucosyltransferase 2(FUT2)	FUT2
NM_000513	-1.51	0.347	2.84	2652	Homo sapiens	opsin 1 (cone pigments), medium-wave-sensitive(OPN1MW)	Opn1mw
NM_000517	-10.81	0.242	418.04	3040	Homo sapiens	hemoglobin subunit alpha 2(HBA2)	HBA2
NM_000518	-3.86	0.34	26.1	3043	Homo sapiens	hemoglobin subunit beta(HBB)	HBB
NM_000522	-1.04	0.605	520.01	3209	Homo sapiens	homeobox A13(HOXA13)	HOXA13
NM_000537	-1.79	0.0747	116.61	5972	Homo sapiens	renin(REN)	REn
NM_000539	-2.75	0.176	50.83	6010	Homo sapiens	rhodopsin(RHO)	RHO
NM_000540	-5.03	0.0573	877.65	6261	Homo sapiens	ryanodine receptor 1(RYR1)	RYR1
NM_000541	-1.46	0.296	7.78	6295	Homo sapiens	S-antigen visual arrestin(SAG)	SAG
NM_000542	-1.32	0.347	0.4	6439	Homo sapiens	surfactant protein B(SFTPB)	SFTPB
NM_000549	-1.1	0.347	2.15	7252	Homo sapiens	thyroid stimulating hormone beta(TSHB)	TSHB
NM_000550	-4.9	0.277	4794.81	7306	Homo sapiens	tyrosinase related protein 1(TYRP1)	TYRP1
NM_000555	-2.26	0.256	12.53	1641	Homo sapiens	doublecortin(DCX)	DCX
NM_000558	-3.78	0.217	120.05	3039	Homo sapiens	hemoglobin subunit alpha 1(HBA1)	hba1
NM_000560	-2.54	0.172	7.27	963	Homo sapiens	CD53 molecule(CD53)	CD53
NM_000564	-3.66	0.334	12.6	3568	Homo sapiens	interleukin 5 receptor subunit alpha(IL5RA)	IL5RA
NM_000566	-7.37	0.0595	353.7	2209	Homo sapiens	Fc fragment of IgG receptor Ia(FCGR1A)	FCGR1A
NM_000573	-1.3	0.0802	51.95	1378	Homo sapiens	complement C3b/C4b receptor 1 (Knops blood group)(CR1)	CR1
NM_000577	-5.81	0.131	682.6	3557	Homo sapiens	interleukin 1 receptor antagonist(IL1RN)	IL1RN
NM_000578	-1.65	0.107	25.54	6556	Homo sapiens	solute carrier family 11 member 1(SLC11A1)	SLC11A1
NM_000579	-3.91	0.0608	52.17	1234	Homo sapiens	C-C motif chemokine receptor 5 (gene/pseudogene)(CCR5)	CCR5
NM_000594	-2.16	0.306	120.18	7124	Homo sapiens	tumor necrosis factor(TNF)	TNF
NM_000597	-7.3	0.119	113500.44	3485	Homo sapiens	insulin like growth factor binding protein 2(IGFBP2)	IGFBP2
NM_000603	-5.97	0.212	1553.71	4846	Homo sapiens	nitric oxide synthase 3(NOS3)	NOS3
NM_000606	-1.57	0.0617	136.47	733	Homo sapiens	complement C8 gamma chain(C8G)	C8G
NM_000607	-2.49	0.246	10.93	5004	Homo sapiens	orosomucoid 1(ORM1)	ORM1
NM_000608	-2.18	0.174	8.95	5005	Homo sapiens	orosomucoid 2(ORM2)	ORM2
NM_000609	-3.99	0.227	37315.19	6387	Homo sapiens	C-X-C motif chemokine ligand 12(CXCL12)	CXCL12
NM_000612	-6.83	0.342	21442.61	3481	Homo sapiens	insulin like growth factor 2(IGF2)	IGF2
NM_000616	-2.37	0.194	3.84	920	Homo sapiens	CD4 molecule(CD4)	CD4
NM_000618	-1.27	0.103	36.42	3479	Homo sapiens	insulin like growth factor 1(IGF1)	IGF1
NM_000620	-3.33	0.0687	10.03	4842	Homo sapiens	nitric oxide synthase 1(NOS1)	NOS1
NM_000624	-9.84	0.15	12495.39	5104	Homo sapiens	serpin family A member 5(SERPINA5)	SERPINA5
NM_000634	-3.64	0.319	89.65	3577	Homo sapiens	C-X-C motif chemokine receptor 1(CXCR1)	CXCR1
NM_000637	-1.03	0.317	44868.47	2936	Homo sapiens	glutathione-disulfide reductase(GSR)	GSR
NM_000639	-3.77	0.0658	13.62	356	Homo sapiens	Fas ligand(FASLG)	FASLG
NM_000643	-2.03	0.207	3409.27	178	Homo sapiens	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase(AGL)	AGL
NM_000644	-2.06	0.175	2716.57	178	Homo sapiens	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase(AGL)	AGL
NM_000646	-1.05	0.0826	1073.5	178	Homo sapiens	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase(AGL)	AGL
NM_000657	-1.12	0.451	1575.46	596	Homo sapiens	BCL2, apoptosis regulator(BCL2)	BCL2
NM_000662	-2.11	0.101	1531.94	9	Homo sapiens	N-acetyltransferase 1(NAT1)	nat1
NM_000665	-1.92	0.0591	100.31	43	Homo sapiens	acetylcholinesterase (Cartwright blood group)(ACHE)	ACHE
NM_000669	-1.88	0.402	119.7	126	Homo sapiens	alcohol dehydrogenase 1C (class I), gamma polypeptide(ADH1C)	ADH1C
NM_000674	-5.15	0.108	2897.77	134	Homo sapiens	adenosine A1 receptor(ADORA1)	ADORA1
NM_000677	-3.83	0.246	14.2	140	Homo sapiens	adenosine A3 receptor(ADORA3)	ADORA3
NM_000681	-6.75	0.176	6377.37	150	Homo sapiens	adrenoceptor alpha 2A(ADRA2A)	ADRA2A
NM_000684	-2.08	0.142	2337.53	153	Homo sapiens	adrenoceptor beta 1(ADRB1)	ADRB1
NM_000690	-3.12	0.182	50719.37	217	Homo sapiens	aldehyde dehydrogenase 2 family (mitochondrial)(ALDH2)	ALDH2
NM_000695	-9.7	0.0875	123225.47	222	Homo sapiens	aldehyde dehydrogenase 3 family member B2(ALDH3B2)	aldh3b2
NM_000698	-7.43	0.305	310.57	240	Homo sapiens	arachidonate 5-lipoxygenase(ALOX5)	ALOX5
NM_000699	-2.99	0.208	5.01	279	Homo sapiens	amylase, alpha 2A (pancreatic)(AMY2A)	amy2a
NM_000702	-6.93	0.349	11628.76	477	Homo sapiens	ATPase Na+/K+ transporting subunit alpha 2(ATP1A2)	ATP1A2
NM_000709	-1.03	0.145	7740.58	593	Homo sapiens	branched chain keto acid dehydrogenase E1, alpha polypeptide(BCKDHA)	BCKDHA
NM_000715	-5.7	0.125	52.08	722	Homo sapiens	complement component 4 binding protein alpha(C4BPA)	C4BPA
NM_000716	-1.45	0.265	109.69	725	Homo sapiens	complement component 4 binding protein beta(C4BPB)	C4BPB
NM_000717	-3.03	0.408	1447.79	762	Homo sapiens	carbonic anhydrase 4(CA4)	CA4
NM_000718	-1.29	0.484	486.12	774	Homo sapiens	calcium voltage-gated channel subunit alpha1 B(CACNA1B)	CACNA1B
NM_000720	-9.34	0.0778	4438.95	776	Homo sapiens	calcium voltage-gated channel subunit alpha1 D(CACNA1D)	CACNA1D
NM_000721	-2.81	0.333	5.95	777	Homo sapiens	calcium voltage-gated channel subunit alpha1 E(CACNA1E)	CACNA1E
NM_000726	-1.51	0.255	1862.1	785	Homo sapiens	calcium voltage-gated channel auxiliary subunit beta 4(CACNB4)	CACNB4
NM_000727	-5.26	0.232	800.83	786	Homo sapiens	calcium voltage-gated channel auxiliary subunit gamma 1(CACNG1)	CACNG1
NM_000730	-1.59	0.347	3.01	886	Homo sapiens	cholecystokinin A receptor(CCKAR)	CCKAR
NM_000733	-3.12	0.199	8.72	916	Homo sapiens	CD3e molecule(CD3E)	CD3E
NM_000734	-1.3	0.361	8.95	919	Homo sapiens	CD247 molecule(CD247)	CD247
NM_000735	-6.57	0.266	197.22	1081	Homo sapiens	glycoprotein hormones, alpha polypeptide(CGA)	CGA
NM_000738	-8.42	0.108	14432.28	1128	Homo sapiens	cholinergic receptor muscarinic 1(CHRM1)	CHRM1
NM_000740	-1.01	0.301	2024.28	1131	Homo sapiens	cholinergic receptor muscarinic 3(CHRM3)	CHRM3
NM_000743	-1.48	0.0836	619.91	1136	Homo sapiens	cholinergic receptor nicotinic alpha 3 subunit(CHRNA3)	CHRNA3
NM_000747	-3.67	0.129	320.51	1140	Homo sapiens	cholinergic receptor nicotinic beta 1 subunit(CHRNB1)	chrnb1
NM_000748	-1.82	0.057	512.65	1141	Homo sapiens	cholinergic receptor nicotinic beta 2 subunit(CHRNB2)	CHRNB2
NM_000750	-5.78	0.192	297.34	1143	Homo sapiens	cholinergic receptor nicotinic beta 4 subunit(CHRNB4)	CHRNB4
NM_000760	-6.52	0.103	91.6	1441	Homo sapiens	colony stimulating factor 3 receptor(CSF3R)	CSF3R
NM_000762	-5.99	0.288	153.07	1548	Homo sapiens	cytochrome P450 family 2 subfamily A member 6(CYP2A6)	CYP2A6
NM_000764	-4.68	0.109	25.71	1549	Homo sapiens	cytochrome P450 family 2 subfamily A member 7(CYP2A7)	CYP2A7
NM_000765	-2.76	0.244	24.89	1551	Homo sapiens	cytochrome P450 family 3 subfamily A member 7(CYP3A7)	CYP3A7
NM_000766	-5.53	0.0597	46.24	1553	Homo sapiens	cytochrome P450 family 2 subfamily A member 13(CYP2A13)	CYP2A13
NM_000767	-1.64	0.0721	39.39	1555	Homo sapiens	cytochrome P450 family 2 subfamily B member 6(CYP2B6)	cyp2b6
NM_000770	-1.27	0.523	39.83	1558	Homo sapiens	cytochrome P450 family 2 subfamily C member 8(CYP2C8)	CYP2C8
NM_000771	-1.35	0.257	4.98	1559	Homo sapiens	cytochrome P450 family 2 subfamily C member 9(CYP2C9)	CYP2C9
NM_000777	-6.99	0.344	126.68	1577	Homo sapiens	cytochrome P450 family 3 subfamily A member 5(CYP3A5)	cyp3a5
NM_000778	-1.51	0.0562	81.45	1579	Homo sapiens	cytochrome P450 family 4 subfamily A member 11(CYP4A11)	CYP4A11
NM_000779	-6.01	0.171	8101.85	1580	Homo sapiens	cytochrome P450 family 4 subfamily B member 1(CYP4B1)	CYP4B1
NM_000783	-2.73	0.287	73.75	1592	Homo sapiens	cytochrome P450 family 26 subfamily A member 1(CYP26A1)	CYP26A1
NM_000789	-5.73	0.212	9961.72	1636	Homo sapiens	angiotensin I converting enzyme(ACE)	ACE
NM_000790	-3.86	0.104	71.36	1644	Homo sapiens	dopa decarboxylase(DDC)	DDC
NM_000792	-8.01	0.311	2033.92	1733	Homo sapiens	deiodinase, iodothyronine type I(DIO1)	DIO1
NM_000798	-2.57	0.347	5.94	1816	Homo sapiens	dopamine receptor D5(DRD5)	DRD5
NM_000803	-2.41	0.0803	2.57	2350	Homo sapiens	folate receptor beta(FOLR2)	FOLR2
NM_000805	-1.14	0.347	2.21	2520	Homo sapiens	gastrin(GAST)	GAST
NM_000807	-3.09	0.253	28.47	2555	Homo sapiens	gamma-aminobutyric acid type A receptor alpha2 subunit(GABRA2)	GABRA2
NM_000809	-3.67	0.0564	12.75	2557	Homo sapiens	gamma-aminobutyric acid type A receptor alpha4 subunit(GABRA4)	GABRA4
NM_000826	-6.58	0.272	427.43	2891	Homo sapiens	glutamate ionotropic receptor AMPA type subunit 2(GRIA2)	GRIA2
NM_000828	-1.17	0.325	2.9	2892	Homo sapiens	glutamate ionotropic receptor AMPA type subunit 3(GRIA3)	GRIA3
NM_000831	-10.12	0.11	25631.39	2899	Homo sapiens	glutamate ionotropic receptor kainate type subunit 3(GRIK3)	GRIK3
NM_000832	-7.12	0.0677	2142.75	2902	Homo sapiens	glutamate ionotropic receptor NMDA type subunit 1(GRIN1)	GRIN1
NM_000834	-3.1	0.393	375.16	2904	Homo sapiens	glutamate ionotropic receptor NMDA type subunit 2B(GRIN2B)	GRIN2B
NM_000840	-1.22	0.139	29.96	2913	Homo sapiens	glutamate metabotropic receptor 3(GRM3)	GRM3
NM_000846	-2.45	0.407	789.73	2939	Homo sapiens	glutathione S-transferase alpha 2(GSTA2)	GSTA2
NM_000847	-9.62	0.331	1639.96	2940	Homo sapiens	glutathione S-transferase alpha 3(GSTA3)	GSTA3
NM_000848	-2.27	0.375	1261.07	2946	Homo sapiens	glutathione S-transferase mu 2(GSTM2)	GSTM2
NM_000849	-2.33	0.15	22084.61	2947	Homo sapiens	glutathione S-transferase mu 3(GSTM3)	GSTM3
NM_000853	-3.33	0.266	13385.74	2952	Homo sapiens	glutathione S-transferase theta 1(GSTT1)	GstT1
NM_000854	-1.71	0.419	181.94	2953	Homo sapiens	glutathione S-transferase theta 2 (gene/pseudogene)(GSTT2)	GstT2
NM_000854	-1	0.497	169.63	2953	Homo sapiens	glutathione S-transferase theta 2 (gene/pseudogene)(GSTT2)	GstT2
NM_000856	-4.09	0.223	2178.33	2982	Homo sapiens	guanylate cyclase 1 soluble subunit alpha(GUCY1A3)	GUCY1A3
NM_000858	-1.15	0.233	27030.94	2987	Homo sapiens	guanylate kinase 1(GUK1)	GUK1
NM_000860	-3.29	0.391	832.7	3248	Homo sapiens	hydroxyprostaglandin dehydrogenase 15-(NAD)(HPGD)	HPGD
NM_000865	-7.91	0.26	239.93	3354	Homo sapiens	5-hydroxytryptamine receptor 1E(HTR1E)	HTR1E
NM_000873	-2.2	0.347	24.98	3384	Homo sapiens	intercellular adhesion molecule 2(ICAM2)	ICAM2
NM_000875	-3.34	0.082	139290.74	3480	Homo sapiens	insulin like growth factor 1 receptor(IGF1R)	IGF1R
NM_000878	-2.1	0.0675	252.81	3560	Homo sapiens	interleukin 2 receptor subunit beta(IL2RB)	IL2RB
NM_000885	-2.03	0.319	9.25	3676	Homo sapiens	integrin subunit alpha 4(ITGA4)	ITGA4
NM_000888	-1.11	0.208	60.89	3694	Homo sapiens	integrin subunit beta 6(ITGB6)	ITGB6
NM_000889	-1.02	0.135	248.57	3695	Homo sapiens	integrin subunit beta 7(ITGB7)	ITGB7
