Gene ID	Species	GeneName	Symbol
NM_004231	9296	Homo sapiens	ATPase H+ transporting V1 subunit F(ATP6V1F)	ATP6V1F
NM_004232	9306	Homo sapiens	suppressor of cytokine signaling 6(SOCS6)	SOCS6
NM_004230	9294	Homo sapiens	sphingosine-1-phosphate receptor 2(S1PR2)	S1PR2
NM_173860	3228	Homo sapiens	homeobox C12(HOXC12)	HOXC12
NM_001122636	50614	Homo sapiens	polypeptide N-acetylgalactosaminyltransferase 9(GALNT9)	GALNT9
NM_001122630	1028	Homo sapiens	cyclin dependent kinase inhibitor 1C(CDKN1C)	CDKN1C
NM_004229	9282	Homo sapiens	mediator complex subunit 14(MED14)	MED14
NM_004227	9265	Homo sapiens	cytohesin 3(CYTH3)	CYTH3
NM_001122631	1028	Homo sapiens	cyclin dependent kinase inhibitor 1C(CDKN1C)	CDKN1C
NM_004226	9262	Homo sapiens	serine/threonine kinase 17b(STK17B)	STK17B
NM_001122634	1373	Homo sapiens	carbamoyl-phosphate synthase 1(CPS1)	CPS1
NM_004225	9258	Homo sapiens	malignant fibrous histiocytoma amplified sequence 1(MFHAS1)	MFHAS1
NM_001122633	1373	Homo sapiens	carbamoyl-phosphate synthase 1(CPS1)	CPS1
NM_004224	9248	Homo sapiens	G protein-coupled receptor 50(GPR50)	GPR50
NM_004242	9324	Homo sapiens	high mobility group nucleosomal binding domain 3(HMGN3)	HMGN3
NM_004244	9332	Homo sapiens	CD163 molecule(CD163)	CD163
NM_004245	9333	Homo sapiens	transglutaminase 5(TGM5)	TGM5
NM_004240	9322	Homo sapiens	thyroid hormone receptor interactor 10(TRIP10)	TRIP10
NM_004241	221037	Homo sapiens	jumonji domain containing 1C(JMJD1C)	JMJD1C
NM_173872	1182	Homo sapiens	chloride voltage-gated channel 3(CLCN3)	CLCN3
NM_001081640	5591	Homo sapiens	protein kinase, DNA-activated, catalytic polypeptide(PRKDC)	PRKDC
NR_015449	441191	Homo sapiens	ring finger protein 216 pseudogene 1(RNF216P1)	RNF216P1
NM_001081637	10859	Homo sapiens	leukocyte immunoglobulin like receptor B1(LILRB1)	LILRB1
NM_001081638	10859	Homo sapiens	leukocyte immunoglobulin like receptor B1(LILRB1)	LILRB1
NM_001081639	10859	Homo sapiens	leukocyte immunoglobulin like receptor B1(LILRB1)	LILRB1
NR_015453	317648	Homo sapiens	NOP14 antisense RNA 1(NOP14-AS1)	NOP14-AS1
NR_015454	92659	Homo sapiens	MAFG antisense RNA 1 (head to head)(MAFG-AS1)	MAFG-AS1
NM_004239	9321	Homo sapiens	thyroid hormone receptor interactor 11(TRIP11)	TRIP11
NM_001111101	25927	Homo sapiens	cannabinoid receptor interacting protein 1(CNRIP1)	CNRIP1
NR_015450	285548	Homo sapiens	long intergenic non-protein coding RNA 1096(LINC01096)	LINC01096
NR_015451	283267	Homo sapiens	long intergenic non-protein coding RNA 294(LINC00294)	LINC00294
NM_004236	9318	Homo sapiens	COP9 signalosome subunit 2(COPS2)	COPS2
NM_004235	9314	Homo sapiens	Kruppel like factor 4(KLF4)	KLF4
NM_004238	9320	Homo sapiens	thyroid hormone receptor interactor 12(TRIP12)	TRIP12
NM_004237	9319	Homo sapiens	thyroid hormone receptor interactor 13(TRIP13)	TRIP13
NM_001081677	6328	Homo sapiens	sodium voltage-gated channel alpha subunit 3(SCN3A)	SCN3A
NM_001081675	340359	Homo sapiens	kelch like family member 38(KLHL38)	KLHL38
NM_001081676	6328	Homo sapiens	sodium voltage-gated channel alpha subunit 3(SCN3A)	SCN3A
NM_173841	3557	Homo sapiens	interleukin 1 receptor antagonist(IL1RN)	IL1RN
NM_001099287	348938	Homo sapiens	NIPA like domain containing 4(NIPAL4)	NIPAL4
NM_173842	3557	Homo sapiens	interleukin 1 receptor antagonist(IL1RN)	IL1RN
NM_001099286	113115	Homo sapiens	mitochondrial fission regulator 2(MTFR2)	MTFR2
NM_173843	3557	Homo sapiens	interleukin 1 receptor antagonist(IL1RN)	IL1RN
NM_001099285	5757	Homo sapiens	prothymosin, alpha(PTMA)	PTMA
NM_173844	10892	Homo sapiens	MALT1 paracaspase(MALT1)	MALT1
NM_173847	124912	Homo sapiens	sperm acrosome associated 3(SPACA3)	SPACA3
NM_001099289	344558	Homo sapiens	SH3 domain containing ring finger 3(SH3RF3)	SH3RF3
NM_173848	138046	Homo sapiens	RALY RNA binding protein-like(RALYL)	RALYL
NM_173849	145258	Homo sapiens	goosecoid homeobox(GSC)	GSC
NM_001099280	727957	Homo sapiens	maestro heat like repeat family member 1(MROH1)	MROH1
NM_001099283	8187	Homo sapiens	zinc finger protein 239(ZNF239)	ZNF239
NM_001099284	8187	Homo sapiens	zinc finger protein 239(ZNF239)	ZNF239
NM_001099281	727957	Homo sapiens	maestro heat like repeat family member 1(MROH1)	MROH1
NM_001099282	8187	Homo sapiens	zinc finger protein 239(ZNF239)	ZNF239
NR_015404	51275	Homo sapiens	MAPKAPK5 antisense RNA 1(MAPKAPK5-AS1)	MAPKAPK5-AS1
NR_015401	255031	Homo sapiens	long intergenic non-protein coding RNA 957(LINC00957)	LINC00957
NM_173850	145264	Homo sapiens	serpin family A member 12(SERPINA12)	SERPINA12
NM_173851	169026	Homo sapiens	solute carrier family 30 member 8(SLC30A8)	SLC30A8
NM_001122681	6452	Homo sapiens	SH3 domain binding protein 2(SH3BP2)	SH3BP2
NM_173854	254428	Homo sapiens	solute carrier family 41 member 1(SLC41A1)	SLC41A1
NM_173855	283385	Homo sapiens	MORN repeat containing 3(MORN3)	MORN3
NM_173852	200185	Homo sapiens	keratinocyte associated protein 2(KRTCAP2)	KRTCAP2
NM_173853	200634	Homo sapiens	keratinocyte associated protein 3(KRTCAP3)	KRTCAP3
NM_173858	317705	Homo sapiens	vomeronasal 1 receptor 5 (gene/pseudogene)(VN1R5)	VN1R5
NM_173856	317701	Homo sapiens	vomeronasal 1 receptor 2(VN1R2)	VN1R2
NM_001099293	285643	Homo sapiens	kinesin family member 4B(KIF4B)	KIF4B
NM_001099294	85352	Homo sapiens	KIAA1644(KIAA1644)	KIAA1644
NR_015419	145783	Homo sapiens	uncharacterized LOC145783(LOC145783)	LOC145783
NR_015416	727924	Homo sapiens	uncharacterized LOC727924(LOC727924)	LOC727924
NR_015417	284276	Homo sapiens	long intergenic non-protein coding RNA 908(LINC00908)	LINC00908
NM_173824	285237	Homo sapiens	chromosome 3 open reading frame 38(C3orf38)	C3orf38
NM_001099269	440515	Homo sapiens	zinc finger protein 506(ZNF506)	ZNF506
NM_173825	285282	Homo sapiens	RAB, member of RAS oncogene family like 3(RABL3)	RABL3
NM_173826	285343	Homo sapiens	T-cell activation inhibitor, mitochondrial(TCAIM)	TCAIM
NM_001122670	5255	Homo sapiens	phosphorylase kinase regulatory subunit alpha 1(PHKA1)	PHKA1
NM_173821	285093	Homo sapiens	receptor transporter protein 5 (putative)(RTP5)	RTP5
NM_173822	285172	Homo sapiens	family with sequence similarity 126 member B(FAM126B)	FAM126B
NM_001122671	883	Homo sapiens	kynurenine aminotransferase 1(KYAT1)	KYAT1
NM_001122672	883	Homo sapiens	kynurenine aminotransferase 1(KYAT1)	KYAT1
NM_001122674	5825	Homo sapiens	ATP binding cassette subfamily D member 3(ABCD3)	ABCD3
NM_001101648	29881	Homo sapiens	NPC1 like intracellular cholesterol transporter 1(NPC1L1)	NPC1L1
NM_173828	285613	Homo sapiens	RELT like 2(RELL2)	RELL2
NM_173827	285521	Homo sapiens	COX18, cytochrome c oxidase assembly factor(COX18)	cox18
NM_173829	285672	Homo sapiens	SREK1 interacting protein 1(SREK1IP1)	SREK1IP1
NM_001122679	57451	Homo sapiens	teneurin transmembrane protein 2(TENM2)	TENM2
NR_015425	338588	Homo sapiens	long intergenic non-protein coding RNA 705(LINC00705)	LINC00705
NR_015424	645784	Homo sapiens	ankyrin repeat domain 36B pseudogene 2(ANKRD36BP2)	ANKRD36BP2
NR_015423	572558	Homo sapiens	PGM5 antisense RNA 1(PGM5-AS1)	PGM5-AS1
NR_015422	149134	Homo sapiens	long intergenic non-protein coding RNA 1341(LINC01341)	LINC01341
NR_015421	154761	Homo sapiens	family with sequence similarity 115, member C pseudogene(LOC154761)	LOC154761
NR_015409	143188	Homo sapiens	uncharacterized LOC143188(LOC143188)	LOC143188
NR_015405	339788	Homo sapiens	long intergenic non-protein coding RNA 298(LINC00298)	LINC00298
NM_001081686	57818	Homo sapiens	glucose-6-phosphatase catalytic subunit 2(G6PC2)	G6PC2
NR_015406	149837	Homo sapiens	long intergenic non-protein coding RNA 654(LINC00654)	LINC00654
NR_015407	339535	Homo sapiens	long intergenic non-protein coding RNA 1139(LINC01139)	LINC01139
NM_173834	286451	Homo sapiens	Yip1 domain family member 6(YIPF6)	YIPF6
NM_004200	9066	Homo sapiens	synaptotagmin 7(SYT7)	SYT7
NM_173832	286128	Homo sapiens	ZFP41 zinc finger protein(ZFP41)	ZFP41
NM_173833	286133	Homo sapiens	scavenger receptor class A member 5(SCARA5)	SCARA5
NM_001099274	26277	Homo sapiens	TERF1 interacting nuclear factor 2(TINF2)	TINF2
NM_173830	285753	Homo sapiens	centrosomal protein 57 like 1(CEP57L1)	CEP57L1
NM_173831	286075	Homo sapiens	zinc finger protein 707(ZNF707)	ZNF707
NM_001099270	403341	Homo sapiens	zinc finger and BTB domain containing 34(ZBTB34)	zbtb34
NM_001099271	134359	Homo sapiens	POC5 centriolar protein(POC5)	POC5
NM_001099272	114781	Homo sapiens	BTB domain containing 9(BTBD9)	BTBD9
NM_001122665	8653	Homo sapiens	DEAD-box helicase 3, Y-linked(DDX3Y)	DDX3Y
NR_015415	400242	Homo sapiens	DICER1 antisense RNA 1(DICER1-AS1)	DICER1-AS1
NR_015414	151658	Homo sapiens	long intergenic non-protein coding RNA 635(LINC00635)	LINC00635
NR_015411	254559	Homo sapiens	MIR9-3 host gene(MIR9-3HG)	Mir9-3hg
NR_015410	401237	Homo sapiens	cancer susceptibility candidate 15 (non-protein coding)(CASC15)	CASC15
NM_001101663	200030	Homo sapiens	neuroblastoma breakpoint family member 11(NBPF11)	NBPF11
NM_001101662	4898	Homo sapiens	nardilysin convertase(NRDC)	NRDC
NM_001101667	8310	Homo sapiens	acyl-CoA oxidase 3, pristanoyl(ACOX3)	ACOX3
NM_001030010	221	Homo sapiens	aldehyde dehydrogenase 3 family member B1(ALDH3B1)	ALDH3B1
NM_173807	257044	Homo sapiens	chromosome 1 open reading frame 101(C1orf101)	C1orf101
NM_173808	257194	Homo sapiens	neuronal growth regulator 1(NEGR1)	NEGR1
NM_001101669	8821	Homo sapiens	inositol polyphosphate-4-phosphatase type II B(INPP4B)	INPP4B
NM_001030019	256979	Homo sapiens	Sad1 and UNC84 domain containing 3(SUN3)	SUN3
NM_173806	255762	Homo sapiens	PDZ domain containing 9(PDZD9)	PDZD9
NM_001030018	353	Homo sapiens	adenine phosphoribosyltransferase(APRT)	APRT
NM_001030015	94233	Homo sapiens	opsin 4(OPN4)	OPN4
NM_173809	282991	Homo sapiens	biogenesis of lysosomal organelles complex 1 subunit 2(BLOC1S2)	BLOC1S2
NM_173800	206338	Homo sapiens	laeverin(LVRN)	LVRN
NM_018088	55138	Homo sapiens	family with sequence similarity 90 member A1(FAM90A1)	Fam90a1
NM_018087	55706	Homo sapiens	NDC1 transmembrane nucleoporin(NDC1)	NDC1
NM_018089	55139	Homo sapiens	ankyrin repeat and zinc finger domain containing 1(ANKZF1)	ANKZF1
NM_173804	255043	Homo sapiens	transmembrane protein 86B(TMEM86B)	TMEM86B
NM_173803	255027	Homo sapiens	MPV17 mitochondrial inner membrane protein like(MPV17L)	MPV17L
NM_173802	254013	Homo sapiens	electron transfer flavoprotein beta subunit lysine methyltransferase(ETFBKMT)	ETFBKMT
NM_018080	54832	Homo sapiens	vacuolar protein sorting 13 homolog C(VPS13C)	VPS13C
NM_018082	55703	Homo sapiens	RNA polymerase III subunit B(POLR3B)	POLR3B
NM_018081	55135	Homo sapiens	WD repeat containing antisense to TP53(WRAP53)	WRAP53
NM_018084	55704	Homo sapiens	coiled-coil domain containing 88A(CCDC88A)	CCDC88A
NM_018083	140467	Homo sapiens	zinc finger protein 358(ZNF358)	ZNF358
NM_018086	55137	Homo sapiens	fidgetin, microtubule severing factor(FIGN)	FIGN
NM_018085	55705	Homo sapiens	importin 9(IPO9)	IPO9
NM_001101653	29099	Homo sapiens	COMM domain containing 9(COMMD9)	COMMD9
NM_001101654	30827	Homo sapiens	CXXC finger protein 1(CXXC1)	CXXC1
NM_018079	55133	Homo sapiens	S1 RNA binding domain 1(SRBD1)	SRBD1
NM_018078	55132	Homo sapiens	La ribonucleoprotein domain family member 1B(LARP1B)	LARP1B
NM_173811	283254	Homo sapiens	harbinger transposase derived 1(HARBI1)	HARBI1
NM_018077	55131	Homo sapiens	RNA binding motif protein 28(RBM28)	RBM28
NM_173810	283237	Homo sapiens	tetratricopeptide repeat domain 9C(TTC9C)	TTC9C
NM_018076	55130	Homo sapiens	armadillo repeat containing 4(ARMC4)	ARMC4
NM_173812	283417	Homo sapiens	dpy-19 like 2(DPY19L2)	DPY19L2
NM_173815	283848	Homo sapiens	carboxylesterase 4A(CES4A)	CES4A
NM_173814	283659	Homo sapiens	protogenin(PRTG)	PRTG
NM_018071	55701	Homo sapiens	Rho guanine nucleotide exchange factor 40(ARHGEF40)	ARHGEF40
NM_018070	23648	Homo sapiens	single stranded DNA binding protein 3(SSBP3)	SSBP3
NM_018075	55129	Homo sapiens	anoctamin 10(ANO10)	ANO10
NM_018074	55702	Homo sapiens	coiled-coil domain containing 94(CCDC94)	CCDC94
NM_018073	55128	Homo sapiens	tripartite motif containing 68(TRIM68)	TRIM68
NM_018072	55127	Homo sapiens	HEAT repeat containing 1(HEATR1)	HEATR1
NM_018066	54707	Homo sapiens	GPN-loop GTPase 2(GPN2)	GPN2
NM_018068	55124	Homo sapiens	piwi like RNA-mediated gene silencing 2(PIWIL2)	PIWIL2
NM_018067	55700	Homo sapiens	MAP7 domain containing 1(MAP7D1)	MAP7D1
NM_018062	55120	Homo sapiens	Fanconi anemia complementation group L(FANCL)	FANCL
NM_018061	55119	Homo sapiens	pre-mRNA processing factor 38B(PRPF38B)	PRPF38B
NM_018064	55122	Homo sapiens	akirin 2(AKIRIN2)	AKIRIN2
NM_018063	3070	Homo sapiens	helicase, lymphoid-specific(HELLS)	HELLS
NM_018060	55699	Homo sapiens	isoleucyl-tRNA synthetase 2, mitochondrial(IARS2)	iars2
NM_001101676	401474	Homo sapiens	sterile alpha motif domain containing 12(SAMD12)	SAMD12
NM_001101672	51222	Homo sapiens	zinc finger protein 219(ZNF219)	ZNF219
NM_001030047	354	Homo sapiens	kallikrein related peptidase 3(KLK3)	KLK3
NM_018059	55698	Homo sapiens	Rap associating with DIL domain(RADIL)	RADIL
NM_018058	55118	Homo sapiens	cartilage acidic protein 1(CRTAC1)	CRTAC1
NM_018057	55117	Homo sapiens	solute carrier family 6 member 15(SLC6A15)	SLC6A15
NM_018056	55116	Homo sapiens	transmembrane protein 39B(TMEM39B)	TMEM39B
NM_018055	4838	Homo sapiens	nodal growth differentiation factor(NODAL)	NODAL
NM_018054	55114	Homo sapiens	Rho GTPase activating protein 17(ARHGAP17)	ARHGAP17
NM_018053	55113	Homo sapiens	XK related 8(XKR8)	XKR8
NM_018052	55697	Homo sapiens	Vac14, PIKFYVE complex component(VAC14)	VAC14
NM_018051	55112	Homo sapiens	WD repeat domain 60(WDR60)	WDR60
NM_018050	54682	Homo sapiens	MANSC domain containing 1(MANSC1)	mansc1
NM_018040	55105	Homo sapiens	G-patch domain containing 2(GPATCH2)	GPATCH2
NM_018042	55106	Homo sapiens	schlafen family member 12(SLFN12)	SLFN12
NM_018043	55107	Homo sapiens	anoctamin 1(ANO1)	ANO1
NM_018044	55695	Homo sapiens	NOP2/Sun RNA methyltransferase family member 5(NSUN5)	NSUN5
NM_018045	55108	Homo sapiens	BSD domain containing 1(BSDC1)	BSDC1
NM_018046	55109	Homo sapiens	angiogenic factor with G-patch and FHA domains 1(AGGF1)	AGGF1
NM_018047	55696	Homo sapiens	RNA binding motif protein 22(RBM22)	RBM22
NM_018048	55110	Homo sapiens	mago homolog B, exon junction complex core component(MAGOHB)	MAGOHB
NM_018049	55111	Homo sapiens	pleckstrin homology domain containing J1(PLEKHJ1)	PLEKHJ1
NM_018029	55096	Homo sapiens	endogenous Bornavirus-like nucleoprotein 2(EBLN2)	EBLN2
NM_018030	114876	Homo sapiens	oxysterol binding protein like 1A(OSBPL1A)	OSBPL1A
NM_018031	11180	Homo sapiens	WD repeat domain 6(WDR6)	wdr6
NM_018034	55100	Homo sapiens	WD repeat domain 70(WDR70)	WDR70
NM_018035	55101	Homo sapiens	ATP5S like(ATP5SL)	ATP5SL
NM_018032	55692	Homo sapiens	LUC7 like(LUC7L)	LUC7L
NM_018039	55693	Homo sapiens	lysine demethylase 4D(KDM4D)	KDM4D
NM_018036	55102	Homo sapiens	autophagy related 2B(ATG2B)	atg2b
NM_018019	55090	Homo sapiens	mediator complex subunit 9(MED9)	MED9
NM_018018	55089	Homo sapiens	solute carrier family 38 member 4(SLC38A4)	SLC38A4
NM_018025	55094	Homo sapiens	G-patch domain containing 1(GPATCH1)	GPATCH1
NM_018026	55690	Homo sapiens	phosphofurin acidic cluster sorting protein 1(PACS1)	PACS1
NM_018027	55691	Homo sapiens	FERM domain containing 4A(FRMD4A)	FRMD4A
NM_018028	55095	Homo sapiens	sterile alpha motif domain containing 4B(SAMD4B)	SAMD4B
NM_018022	55092	Homo sapiens	transmembrane protein 51(TMEM51)	TMEM51
NM_018023	55689	Homo sapiens	YEATS domain containing 2(YEATS2)	YEATS2
NM_018024	55093	Homo sapiens	WDYHV motif containing 1(WDYHV1)	WDYHV1
NM_001030005	594855	Homo sapiens	complexin 3(CPLX3)	CPLX3
NM_001030004	3172	Homo sapiens	hepatocyte nuclear factor 4 alpha(HNF4A)	HNF4A
NM_001030007	164	Homo sapiens	adaptor related protein complex 1 gamma 1 subunit(AP1G1)	AP1G1
NM_001030006	163	Homo sapiens	adaptor related protein complex 2 beta 1 subunit(AP2B1)	AP2B1
NM_001030009	6210	Homo sapiens	ribosomal protein S15a(RPS15A)	rps15a
NM_018009	55080	Homo sapiens	TAP binding protein like(TAPBPL)	TAPBPL
NM_018008	55079	Homo sapiens	FEZ family zinc finger 2(FEZF2)	FEZF2
NM_001030001	6235	Homo sapiens	ribosomal protein S29(RPS29)	RPS29
NM_001030003	3172	Homo sapiens	hepatocyte nuclear factor 4 alpha(HNF4A)	HNF4A
NM_001030002	2886	Homo sapiens	growth factor receptor bound protein 7(GRB7)	GRB7
NM_018017	55088	Homo sapiens	coiled-coil domain containing 186(CCDC186)	CCDC186
NM_018014	53335	Homo sapiens	B-cell CLL/lymphoma 11A(BCL11A)	BCL11A
NM_018015	55086	Homo sapiens	chromosome X open reading frame 57(CXorf57)	cxorf57
NM_018012	55083	Homo sapiens	kinesin family member 26B(KIF26B)	KIF26B
NM_018013	55084	Homo sapiens	sine oculis binding protein homolog(SOBP)	SOBP
NM_018010	55081	Homo sapiens	intraflagellar transport 57(IFT57)	IFT57
NM_018011	55082	Homo sapiens	arginine and glutamate rich 1(ARGLU1)	ARGLU1
NM_001137560	441151	Homo sapiens	transmembrane protein 151B(TMEM151B)	TMEM151B
NM_001011885	53339	Homo sapiens	BTB domain containing 1(BTBD1)	BTBD1
NM_001137551	9208	Homo sapiens	LRR binding FLII interacting protein 1(LRRFIP1)	LRRFIP1
NM_001137550	9208	Homo sapiens	LRR binding FLII interacting protein 1(LRRFIP1)	LRRFIP1
NM_001011880	497190	Homo sapiens	C-type lectin domain family 18 member B(CLEC18B)	CLEC18B
NM_001137553	9208	Homo sapiens	LRR binding FLII interacting protein 1(LRRFIP1)	LRRFIP1
NM_001137552	9208	Homo sapiens	LRR binding FLII interacting protein 1(LRRFIP1)	LRRFIP1
NM_001137554	28985	Homo sapiens	MCTS1, re-initiation and release factor(MCTS1)	MCTS1
NM_001137556	100132929	Homo sapiens	protein FAM25(FAM25BP)	FAM25BP
NM_001137559	51433	Homo sapiens	anaphase promoting complex subunit 5(ANAPC5)	ANAPC5
NM_052811	10206	Homo sapiens	tripartite motif containing 13(TRIM13)	TRIM13
NM_052814	64170	Homo sapiens	caspase recruitment domain family member 9(CARD9)	CARD9
NM_052813	64170	Homo sapiens	caspase recruitment domain family member 9(CARD9)	CARD9
NM_052818	90634	Homo sapiens	NEDD4 binding protein 2 like 1(N4BP2L1)	N4BP2L1
NM_052819	79092	Homo sapiens	caspase recruitment domain family member 14(CARD14)	CARD14
NM_052817	11043	Homo sapiens	midline 2(MID2)	MID2
NR_003090	4336	Homo sapiens	myelin-associated oligodendrocyte basic protein(MOBP)	MOBP
NR_003098	23642	Homo sapiens	small nucleolar RNA host gene 1(SNHG1)	SNHG1
NR_003099	10793	Homo sapiens	zinc finger protein 273(ZNF273)	ZNF273
NM_001034853	6103	Homo sapiens	retinitis pigmentosa GTPase regulator(RPGR)	RPGR
NR_003089	55611	Homo sapiens	OTU deubiquitinase, ubiquitin aldehyde binding 1(OTUB1)	OTUB1
NR_003088	150000	Homo sapiens	ATP binding cassette subfamily C member 13 (pseudogene)(ABCC13)	ABCC13
NM_001034852	64093	Homo sapiens	SPARC related modular calcium binding 1(SMOC1)	SMOC1
NM_001034850	54463	Homo sapiens	family with sequence similarity 134 member B(FAM134B)	fam134b
NR_003081	25774	Homo sapiens	glutathione S-transferase theta pseudogene 1(GSTTP1)	GSTTP1
NR_003083	386757	Homo sapiens	solute carrier family 6 member 10, pseudogene(SLC6A10P)	SLC6A10P
NR_003082	653399	Homo sapiens	glutathione S-transferase theta pseudogene 2(GSTTP2)	GSTTP2
NM_052839	56666	Homo sapiens	pannexin 2(PANX2)	PANX2
NM_052838	1731	Homo sapiens	septin 1(SEPT1)	SEPT1
NR_003084	3222	Homo sapiens	homeobox C5(HOXC5)	HOXC5
NR_003087	150000	Homo sapiens	ATP binding cassette subfamily C member 13 (pseudogene)(ABCC13)	ABCC13
NR_003086	158160	Homo sapiens	hydroxysteroid 17-beta dehydrogenase 7 pseudogene 2(HSD17B7P2)	HSD17B7P2
NM_052834	23335	Homo sapiens	WD repeat domain 7(WDR7)	WDR7
NM_052836	64072	Homo sapiens	cadherin related 23(CDH23)	CDH23
NM_052837	10067	Homo sapiens	secretory carrier membrane protein 3(SCAMP3)	SCAMP3
NM_052831	116843	Homo sapiens	solute carrier family 18 member B1(SLC18B1)	SLC18B1
NM_052832	115111	Homo sapiens	solute carrier family 26 member 7(SLC26A7)	SLC26A7
NR_003078	692213	Homo sapiens	small nucleolar RNA, C/D box 110(SNORD110)	Snord110
